Model,Provider,Tags,Input $/1M,Output $/1M,Context,Latency(s),Throughput(t/s),Tools,Structured
aqa,google,,,,,-,-,Yes,Yes
deep-research-pro-preview-12-2025,google,,,,,-,-,Yes,Yes
gemini-2.0-flash,google,,,,,-,-,Yes,Yes
gemini-2.0-flash-001,google,,,,,-,-,Yes,Yes
gemini-2.0-flash-exp-image-generation,google,,,,,-,-,Yes,Yes
gemini-2.0-flash-lite,google,,,,,-,-,Yes,Yes
gemini-2.0-flash-lite-001,google,,,,,-,-,Yes,Yes
gemini-2.5-computer-use-preview-10-2025,google,,,,,-,-,Yes,Yes
gemini-2.5-flash,google,,,,,-,-,Yes,Yes
gemini-2.5-flash-image,google,,,,,-,-,Yes,Yes
gemini-2.5-flash-lite,google,,,,,-,-,Yes,Yes
gemini-2.5-flash-lite-preview-09-2025,google,,,,,-,-,Yes,Yes
gemini-2.5-flash-native-audio-latest,google,,,,,-,-,Yes,Yes
gemini-2.5-flash-native-audio-preview-09-2025,google,,,,,-,-,Yes,Yes
gemini-2.5-flash-native-audio-preview-12-2025,google,,,,,-,-,Yes,Yes
gemini-2.5-flash-preview-09-2025,google,,,,,-,-,Yes,Yes
gemini-2.5-flash-preview-tts,google,,,,,-,-,Yes,Yes
gemini-2.5-pro,google,,,,,-,-,Yes,Yes
gemini-2.5-pro-preview-tts,google,,,,,-,-,Yes,Yes
gemini-3-flash-preview,google,,,,,-,-,Yes,Yes
gemini-3-pro-image-preview,google,,,,,-,-,Yes,Yes
gemini-3-pro-preview,google,,,,,-,-,Yes,Yes
gemini-3.1-pro,google,,,,,-,-,Yes,Yes
gemini-embedding-001,google,,,,,-,-,Yes,Yes
gemini-exp-1206,google,,,,,-,-,Yes,Yes
gemini-flash-latest,google,,,,,-,-,Yes,Yes
gemini-flash-lite-latest,google,,,,,-,-,Yes,Yes
gemini-pro-latest,google,,,,,-,-,Yes,Yes
gemini-robotics-er-1.5-preview,google,,,,,-,-,Yes,Yes
gemma-3-12b-it,google,,,,,-,-,Yes,Yes
gemma-3-1b-it,google,,,,,-,-,Yes,Yes
gemma-3-27b-it,google,,,,,-,-,Yes,Yes
gemma-3-4b-it,google,,,,,-,-,Yes,Yes
gemma-3n-e2b-it,google,,,,,-,-,Yes,Yes
gemma-3n-e4b-it,google,,,,,-,-,Yes,Yes
imagen-4.0-fast-generate-001,google,,,,,-,-,Yes,Yes
imagen-4.0-generate-001,google,,,,,-,-,Yes,Yes
imagen-4.0-generate-preview-06-06,google,,,,,-,-,Yes,Yes
imagen-4.0-ultra-generate-001,google,,,,,-,-,Yes,Yes
imagen-4.0-ultra-generate-preview-06-06,google,,,,,-,-,Yes,Yes
lyria-realtime-exp,google,,,,,-,-,Yes,Yes
nano-banana-pro-preview,google,,,,,-,-,Yes,Yes
veo-2.0-generate-001,google,,,,,-,-,Yes,Yes
veo-3.0-fast-generate-001,google,,,,,-,-,Yes,Yes
veo-3.0-generate-001,google,,,,,-,-,Yes,Yes
veo-3.1-fast-generate-preview,google,,,,,-,-,Yes,Yes
veo-3.1-generate-preview,google,,,,,-,-,Yes,Yes
